das flache Gebäude/Komparativ/Superlativ;flachere/flaschste;flächere/fläschste;flachere/flascheste;1;
das klare Wasser/Komparativ/Superlativ;klarere/klarste;klärere/klärste;klarere/klarsteste;1;
die lange Schlange/Komparativ/Superlativ;langere/langste;längere/längste;längere/längerste;2;
die schwache Leistung/Komparativ/Superlativ;schwachere/schwachste;schwächere/schwächerste;schwächere/schwächste;3;
der hohe Turm/Komparativ/Superlativ;höhere/höchste;hohere/hochste;höhere/höherste;1;
das bunte Kleid/Komparativ/Superlativ;büntere/bünteste;buntere/bunteste;büntere/bünteste;2;
das große Tier/Komparativ/Superlativ;großere/großte;großere/großerste;größere/größte;3;
die kurze Reise/Komparativ/Superlativ;kürzere/kürzeste;kurzere/kurzeste;kurzere/kurzste;1;
das stumpfe Messer/Komparativ/Superlativ;stümpfere/stümpfste;stumpfere/stumpfste;stümpfere/stümpferste;2;
der kluge Schüler/Komparativ/Superlativ;klugere/klugste;klügere/klügerste;klügere/klügste;3;
das junge Kind/Komparativ/Superlativ;jüngere/jüngste;jungere/jungste;jüngere/jüngerste;1;
die gesunde Ernährung/Komparativ/Superlativ;gesündere/gesünste;gesundere/gesundste;gesündere/gesündeste;1;
die dumme Entscheidung/Komparativ/Superlativ;dummere/dummste;dümmere/dümmste;dümmere/dummerste;2;
die schlanke Frau/Komparativ/Superlativ;schlänkere/schlänkste;schlänkere/schlänkeste;schlankere/schlankste;3;
das warme Klima/Komparativ/Superlativ;wärmere/wärmste;warmere/warmste;warmere/warmerste;1;
die straffe Zeitplanung/Komparativ/Superlativ;sträffere/sträffste;straffere/straffste;sträffere/straffteste;2;
das zahrte Fleisch/Komparativ/Superlativ;zäretere/zärteste;zärtere/zärtesste;zartere/zarteste;3;
das arme Land/Komparativ/Superlativ;ärmere/ärmste;armere/armste;armere/armerste;1;
das scharfe Gewürz/Komparativ/Superlativ;/;schärfere/schärfste;/;2;
die rasche Entscheidung/Komparativ/Superlativ;raschere/rascherste;räschere/räschste;raschere/rascheste;3;
