Die Waldarbeiter haben einen Baum ____________.;gefällt;gefallen;-;1;
Der Baum ist krachend zu Boden ____________.;gefällt;gefallen;;2;
Sein schlechtes Aussehen hat mich ____________.;erschrocken;-;erschreckt;3;
Ich bin über sein schlechtes Aussehen ___________. ;erschrocken;erschreckt;-;1;
Wie habe ich mich darüber ____________!;erschreckt;erschreckt/erschrocken;erschrocken;2;
Ilona hat die Haare ____________.;-;verblichen;gebleicht;3;
Die Fotos sind mit der Zeit ____________.;verblichen;gebleicht;-;1;
Bei dem Hochwasser ist viel Vieh ____________.;ertränkt;ertrunken;-;2;
Ottfried  hat sich sich ____________.;-;ertrunken;ertränkt;3;
Otto hat die jungen Katzen im Teich ____________.;ertränkt;ertrunken;-;1;
Das U-Boot ist auf den Grund des Meeres ____________.;gesunken;gesenkt;-;1;
Helmut ist auf/in die Knie ____________.;gesenkt;gesunken;-;2;
Carl Hat den Kopf ____________.;-;gesunken;gesenkt;3;
Der Preis für Erdöl ist wieder ____________.;gesunken;gesenkt;-;1;
Der Wasserspiegel hat sich ____________.;gesunken;gesenkt;-;2;
Die Schranke hat sich ____________.;-;gesunken;gesenkt;3;
Das Wrack eines Boots ist auf der Wasseroberfläche ______ . ;geschwommen;geschwemmt;-;1;
Die Strömung hat das Wrack eines Boots ans Ufer _________.;geschwommen;geschwemmt;-;2; 
Die Nachfrage nach Konzertkarten ist in der letzten Zeit ______.;-;gesteigert;gestiegen;3;
Der Läufer hat das Tempo ____________.;gesteigert;gestiegen;-;1;
Der Sturm hat sich zum Orkan ____________.;gestiegen;gesteigert;-;2;
Der Betrieb hat die Produktion um 20% ____________.;-;gestiegen;gesteigert;3;
Im laufenden Jahr ist die Produktion im Betrieb um 9% _____ .;gestiegen;gesteigert;-;1;
Clara hat viel Geld für unnötige Dinge ____________.;verschwunden;verschwendet;-;2;
Dann ist er auf geheimnisvolle Weise ____________.;verschwendet;verschwunden;-;3;
Mit Mickymaus hat Walt Disney eine Figur __________,die jetzt auf der ganzen Welt bekannt ist.;geschaffen;geschafft;-;1;
Bernd hat die Arbeit ohne fremde Hilfe ____________.;geschaffen;geschafft;-;2;
Udo hat in seinem Arbeitszimmer endlich Ordnung ________.;geschaffen;geschafft;geschafft/geschaffen;3;
Der Wind hat die Blätter leicht ____________.;bewegt;bewogen;-;1;
Die Blätter hat sich im Wind leicht sich ____________.;bewogen;bewegt;-;2;
Was hat ihn zur Abreise ____________?;-;bewegt;bewogen;3;
Der Rundfunk hat ein Konzert ____________.;gesendet;gesandt;-;1;
Klaus hat ihr einen Brief ____________.;gesandt;gesandt/ gesendet;gesendet;2;
Die Haare sind schnell ____________.;-;gewachst;gewachsen;3;
Erika hat die Skier (den Boden) ____________.;gewachst;;gewachsen-;1;
Alex hat ein Messer (eine Schere) ____________.;geschliffen;geschleift;-;1;
Frank hat die Kiste über den Hof ____________.;geschliffen;geschleift;-;2;
Die Mutter hat das Kind in den Armen ____________.;-;gewogen;gewiegt;3;
Die Verkäuferin hat die Äpfel ____________.;gewogen;gewiegt;-;1;
Das Boot hat sich auf den Wellen ____________.;gewogen;gewiegt;-;2;
Bruno hat den Bart ____________.;-;geschert;geschoren;3;
Fritz hat sich nur wenig um seine Kinder ___________.;geschert;geschoren;-;1;
Es hat ihn nicht ____________, dass das Essen kalt war.;geschoren;geschert;-;2;
Der Regen hat den Boden ____________.;aufgewichen;aufgeweicht;-;2;
Der Fahrer ist dem Fußgänger ____________.;-;ausgeweicht;ausgewichen;3;
Die Angst ist von ihm ____________.;gewichen;geweicht;-;1;
Barbara hat einen Apfelkuchen ____________.;gebacken;gebackt;-;1;
Der Schnee ist an den Stiefeln ____________.;gebacken;gebackt;-;2;
Er hat mit dem Messer ____________.;-;gehaut;gehauen;3;
Die Kinder haben sich ____________.;gehauen;gehaut;-;1;
Ein Bandit hat ihm ins Gesicht ____________.;gehaut;gehauen;-;2;
Der Steinmetz hat eine Inschrift in den Grabstein _________.;-;gehaut;gehauen;3;
Der Sohn hat den Teppich ____________.;gesaugt;gesogen;-;1;
Der kleine Klaus hat Saft durch einen Strohhalm _________.;gesogen;gesogen/gesaugt;gesaugt;2;
Seine Augen haben gefährlich ____________.;geglommen;geglimmt;-;1;
Unter der Asche hat das Feuer ____________.;geglommen;geglimmt;-;2;
Die Bäuerin hat die Kuh mit der Hand ____________.;-;gemolken;gemelkt;3;
Dieser Kerl hat uns ____________.;gemolken;gemelkt;-;1;
Der Landwirt hat mit einer Axt Holz ____________.;gespalten; gespaltet/gespalten;gespaltet;2;
Die Partei hat sich ____________.;-;gespaltet;gespalten;3;
Der Bürgerkrieg hat das Land in zwei feindliche Lager ______.;gespalten;gespaltet;-;1;
Der Blitz hat den Baum ____________.;gespaltet; gespaltet/gespalten ;gespalten;2;
Durch den Frost hat sich das Mauerwerk ____________.;gespalten;gespaltet;gespalten/gespaltet;3;
Meine Mutter hat früher Stoffe selbst ____________.;gewebt;gewoben;-;1;
Die Spinne hat ihr Netz ____________.;gewoben;gewebt;-;2;
Die Sonne hat goldene Fäden ____________.;-;gewebt;gewoben;3;
Sein Mantel hat von/vor Nässe ____________.;getrieft/getroffen;getrieft;getroffen;1;
Ihm idt der Schweiß von der Stirn ____________.;getroffen;getrieft;-;2;
Die Eier sind hart (weich) ____________.;-;gesiedet;gesotten;3;
Der arme Helmut ist (vor Wut) ____________.;gesiedet;gesotten;-;1;
Die Erbsen sind ____________.;gequellt;gequollen;-;2;
Die Köchin ist Erbsen ____________.;-;gequollen;gequellt;3;
Die Tränen sind aus Angelikas Augen ____________.;gequollen;gequellt;-;1;




