Vor zwei Jahren _______ es ihm relativ gut gegangen.;ist;hat;-;1;
Der Verletzte ______ bewusstlos auf dem Boden gelegen.;ist;hat;-;2;
Von seinem riesigen Vermögen _______ fast nichts geblieben.;-;;ist;3;
Emil _______ ihr kein Wort geglaubt.;hat;ist;-;1;
Was _______ ihm hier eigentlich geschehen?;hat;ist;-;2;
Am Anfang _______ Gott Himmel und Erde geschaffen.;-;ist;hat;3;
Es _______ heute Nacht in dichten Flocken geschneit.;hat;ist;-;1;
Die Ampel _______ auf Rot gesprungen.;hat;ist;-;2;
Das Pferd _______ den Wagen gezogen.;-;ist;hat;3;
Herr Eilers _______ täglich auf der Strecke Ulm — München den Hubschrauber geflogen.;hat;ist;-;1;
Isolde ______ sich über 2 Jahre mit diesem Problem beschäftigt. ;ist;hat;-;2;
Das Auto _______ langsam um die Ecke gebogen.;-;hat;ist;3;
Ihr _______ bestimmt mit dem Auto gekommen.;seid;habt;-;1;
Eduard _______ zufälligerweise mich gestoßen.;ist;hat;-;2;
Es _______ in der Ferne geblitzt und gedonnert.;-;ist;hat;3;


